LANE DESCRIPTION,SOURCE,REGION,DESTINATION,TRUCK SIZE,UNUSED,RATE (KES)
KBL NBO F20 - Kapsabet 7.5T KEG,NBO,Rift,KAPSABET,7.5T,,63219.17
KBL NBO F20 - Kapsabet 7.5T SPIRIT,NBO,Rift,KAPSABET,7.5T,,62449.09
KBL NBO F20 - KAPSABET P/up Beer,NBO,Rift,KAPSABET,P/UP,,57138.73
KBL NBO F20 - KAPSABET P/up Spirit,NBO,Rift,KAPSABET,P/UP,,56438.73
KBL NBO F20 - KERICHO 14T BEER,NBO,Rift,KERICHO,14T,,68478.03
KBL NBO F20 - KERICHO 14T KEG,NBO,Rift,KERICHO,14T,,69335.07
KBL NBO F20 - KERICHO 14T SPIRIT,NBO,Rift,KERICHO,14T,,67752.33
KBL NBO F20 - KERICHO 30T BEER,NBO,Rift,KERICHO,30T,,109874.25
KBL NBO F20 - KERICHO 30T KEG,NBO,Rift,KERICHO,30T,,109978.2
KBL NBO F20 - KERICHO 30T Spirit,NBO,Rift,KERICHO,30T,,109125.2
KBL NBO F20 - KERICHO 7.5T BEER,NBO,Rift,KERICHO,7.5T,,52265.22
KBL NBO F20 - KERICHO 7.5T KEG,NBO,Rift,KERICHO,7.5T,,52334.13
KBL NBO F20 - KERICHO 7.5T SPIRIT,NBO,Rift,KERICHO,7.5T,,51523.17
KBL NBO F20 - KERICHO P/up Beer,NBO,Rift,KERICHO,P/UP,,47345.69
KBL NBO F20 - KERICHO P/up Spirit,NBO,Rift,KERICHO,P/UP,,46645.69
KBL NBO F20 - KISII 14T BEER,NBO,Rift,KISII,14T,,77462.18
KBL NBO F20 - KISII 14T KEG,NBO,Rift,KISII,14T,,77525.25
KBL NBO F20 - KISII 14T SPIRIT,NBO,Rift,KISII,14T,,76736.49
KBL NBO F20 - KISII 30T BEER,NBO,Rift,KISII,30T,,42390.7
KBL NBO F20 - KISII 30T KEG,NBO,Rift,KISII,30T,,42390.7
KBL NBO F20 - KISII 30T SPIRIT,NBO,Rift,KISII,30T,,42390.7
KBL NBO F20 - KISII 7.5T BEER,NBO,Rift,KISII,7.5T,,58879.02
KBL NBO F20 - KISII 7.5T KEG,NBO,Rift,KISII,7.5T,,58907.05
KBL NBO F20 - KISII 7.5T SPIRIT,NBO,Rift,KISII,7.5T,,58136.97
KBL NBO F20 - KISII P/up Beer,NBO,Rift,KISII,P/UP,,52850.52
KBL NBO F20 - KISII P/up Spirit,NBO,Rift,KISII,P/UP,,52150.52
KBL NBO F20 - KITALE 14T BEER,NBO,Rift,KITALE,14T,,98577.75
KBL NBO F20 - KITALE 14T KEG,NBO,Rift,KITALE,14T,,98709.73
KBL NBO F20 - Kitale 14T SPIRIT,NBO,Rift,KITALE,14T,,97852.05
KBL NBO F20 - KITALE 30T BEER,NBO,Rift,KITALE,30T,,67930.63
KBL NBO F20 - KITALE 30T KEG,NBO,Rift,KITALE,30T,,67930.63
KBL NBO F20 - Kitale 30T SPIRIT,NBO,Rift,KITALE,30T,,67930.63
KBL NBO F20 - KITALE 7.5T BEER,NBO,Rift,KITALE,7.5T,,71582.01
KBL NBO F20 - KITALE 7.5T KEG,NBO,Rift,KITALE,7.5T,,71582.01
KBL NBO F20 - Kitale 7.5T SPIRIT,NBO,Rift,KITALE,7.5T,,71582.01
KBL NBO F20 - KITALE P/up Beer,NBO,Rift,KITALE,P/UP,,67997.69
KBL NBO F20 - KITALE P/up Spirit,NBO,Rift,KITALE,P/UP,,67297.69
KBL NBO F20 - LANET 14T Beer,NBO,Rift,LANET,14T,,48504.56
KBL NBO F20 - LANET 14T Spirit,NBO,Rift,LANET,14T,,47778.86
KBL NBO F20 - LANET 30T Beer,NBO,Rift,LANET,30T,,77156.49
KBL NBO F20 - LANET 30T Spirit,NBO,Rift,LANET,30T,,76693.6
KBL NBO F20 - LANET 7.5T Beer,NBO,Rift,LANET,7.5T,,37371.09
KBL NBO F20 - LANET 7.5T Spirit,NBO,Rift,LANET,7.5T,,36629.04
KBL NBO F20 - LANET P/up Beer,NBO,Rift,LANET,P/UP,,33819.06
KBL NBO F20 - LANET P/up Spirit,NBO,Rift,LANET,P/UP,,33159.94
KBL NBO F20 - MEMORIAL 14T Spirit,NBO,Rift,MEMORIAL,14T,,13385.35
KBL NBO F20 - MEMORIAL 30T Spirit,NBO,Rift,MEMORIAL,30T,,20351.59
KBL NBO F20 - MEMORIAL 7.5T Spirit,NBO,Rift,MEMORIAL,7.5T,,10983.28
