LANE DESCRIPTION,SOURCE,REGION,DESTINATION,TRUCK SIZE,UNUSED,RATE (KES)
KBL NBO F20 - NAIROBI THT 30T Beer,NBO,Nairobi,NAIROBI THT,30T,,21051.59
KBL NBO F20 - NAIROBI THT 30T Spirit,NBO,Nairobi,NAIROBI THT,30T,,20351.59
KBL NBO F20 - NAIROBI THT 7.5T Beer,NBO,Nairobi,NAIROBI THT,7.5T,,11794.24
KBL NBO F20 - NAIROBI THT 7.5T Spirit,NBO,Nairobi,NAIROBI THT,7.5T,,11094.24
KBL NBO F20 - NAIROBI THT P/up Beer,NBO,Nairobi,NAIROBI THT,P/UP,,10860.94
KBL NBO F20 - NAIROBI THT P/up Spirit,NBO,Nairobi,NAIROBI THT,P/UP,,10860.94
KBL NBO F20 - Ngara 14T KEG,NBO,Nairobi,NGARA,14T,,13538.63
KBL NBO F20 - NGARA 14T SPIRIT,NBO,Nairobi,NGARA,14T,,13538.63
KBL NBO F20 - Ngara 30T KEG,NBO,Nairobi,NGARA,30T,,20918.44
KBL NBO F20 - NGARA 30T SPIRIT,NBO,Nairobi,NGARA,30T,,20065.43
KBL NBO F20 - Ngara 7.5T KEG,NBO,Nairobi,NGARA,7.5T,,11057.56
KBL NBO F20 - NGARA 7.5T SPIRIT,NBO,Nairobi,NGARA,7.5T,,11057.56
KBL NBO F20 - NGARA P/up Spirit,NBO,Nairobi,NGARA EB,P/UP,,9828.43
KBL NBO F20 - NGONG 14T BEER,NBO,Nairobi,NGONG,14T,,17584.0
KBL NBO F20 - NGONG 14T KEG,NBO,Nairobi,NGONG,14T,,17584.0
KBL NBO F20 - Ngong 14T SPIRIT,NBO,Nairobi,NGONG,14T,,17584.0
KBL NBO F20 - NGONG 30T BEER,NBO,Nairobi,NGONG,30T,,27978.21
KBL NBO F20 - NGONG 30T KEG,NBO,Nairobi,NGONG,30T,,26973.95
KBL NBO F20 - Ngong 30T SPIRIT,NBO,Nairobi,NGONG,30T,,26120.95
KBL NBO F20 - NGONG 7.5T BEER,NBO,Nairobi,NGONG,7.5T,,15741.31
KBL NBO F20 - NGONG 7.5T KEG,NBO,Nairobi,NGONG,7.5T,,15741.31
KBL NBO F20 - Ngong 7.5T SPIRIT,NBO,Nairobi,NGONG,7.5T,,15741.31
KBL NBO F20 - NGONG P/up Beer,NBO,Nairobi,NGONG,P/UP,,12958.96
KBL NBO F20 - NGONG P/up Spirit,NBO,Nairobi,NGONG,P/UP,,12258.96
KBL NBO F20 - NRB CITY CENT 14T Keg,NBO,Nairobi,NRB CITY CENT EB,14T,,14174.12
KBL NBO F20 - NRB CITY CENT 14T Spirit,NBO,Nairobi,NRB CITY CENT EB,14T,,13385.35
KBL NBO F20 - NRB CITY CENT 30T Keg,NBO,Nairobi,NRB CITY CENT EB,30T,,20918.44
KBL NBO F20 - NRB CITY CENT 30T Spirit,NBO,Nairobi,NRB CITY CENT EB,30T,,20351.59
KBL NBO F20 - NRB CITY CENT 7.5T Keg,NBO,Nairobi,NRB CITY CENT EB,7.5T,,10186.3
KBL NBO F20 - NRB CITY CENT 7.5T Spirit,NBO,Nairobi,NRB CITY CENT EB,7.5T,,10186.3
KBL NBO F20 - NRB CITY CENT P/up Spirit,NBO,Nairobi,NRB CITY CENT EB,P/UP,,9869.31
KBL NBO F20 - NRB JERICHO 14T Keg,NBO,Nairobi,NRB JERICHO EB,14T,,13538.63
KBL NBO F20 - NRB JERICHO 14T Spirit,NBO,Nairobi,NRB JERICHO EB,14T,,13538.63
KBL NBO F20 - NRB JERICHO 30T Keg,NBO,Nairobi,NRB JERICHO EB,30T,,20918.44
KBL NBO F20 - NRB JERICHO 30T Spirit,NBO,Nairobi,NRB JERICHO EB,30T,,20065.43
KBL NBO F20 - NRB JERICHO 7.5T Keg,NBO,Nairobi,NRB JERICHO EB,7.5T,,11753.36
KBL NBO F20 - NRB JERICHO 7.5T Spirit,NBO,Nairobi,NRB JERICHO EB,7.5T,,10983.28
KBL NBO F20 - NRB JERICHO P/up Spirit,NBO,Nairobi,NRB JERICHO EB,P/UP,,9828.43
KBL NBO F20 - NRB NASRA 14T Beer,NBO,Nairobi,NRB NASRA EB,14T,,14243.03
KBL NBO F20 - NRB NASRA 14T Keg,NBO,Nairobi,NRB NASRA EB,14T,,14243.03
KBL NBO F20 - NRB NASRA 14T Spirit,NBO,Nairobi,NRB NASRA EB,14T,,13385.35
KBL NBO F20 - NRB NASRA 30T Beer,NBO,Nairobi,NRB NASRA EB,30T,,21051.59
KBL NBO F20 - NRB NASRA 30T Keg,NBO,Nairobi,NRB NASRA EB,30T,,21051.59
KBL NBO F20 - NRB NASRA 30T Spirit,NBO,Nairobi,NRB NASRA EB,30T,,20065.43
KBL NBO F20 - NRB NASRA 7.5T Beer,NBO,Nairobi,NRB NASRA EB,7.5T,,11794.24
KBL NBO F20 - NRB NASRA 7.5T Keg,NBO,Nairobi,NRB NASRA EB,7.5T,,11794.24
KBL NBO F20 - NRB NASRA 7.5T Spirit,NBO,Nairobi,NRB NASRA EB,7.5T,,10983.28
KBL NBO F20 - NRB NASRA P/up Beer,NBO,Nairobi,NRB NASRA EB,P/UP,,10528.43
KBL NBO F20 - NRB NASRA P/up Spirit,NBO,Nairobi,NRB NASRA EB,P/UP,,9828.43
KBL NBO F20 - PIPELINE 14T Keg,NBO,Nairobi,PIPELINE,14T,,14174.12
KBL NBO F20 - PIPELINE 14T Spirit,NBO,Nairobi,PIPELINE,14T,,13385.35
KBL NBO F20 - PIPELINE 30T Keg,NBO,Nairobi,PIPELINE,30T,,20918.44
KBL NBO F20 - PIPELINE 30T Spirit,NBO,Nairobi,PIPELINE,30T,,20351.59
KBL NBO F20 - PIPELINE 7.5T Keg,NBO,Nairobi,PIPELINE,7.5T,,11753.36
KBL NBO F20 - PIPELINE 7.5T Spirit,NBO,Nairobi,PIPELINE,7.5T,,10983.28
KBL NBO F20 - PIPELINE P/up Spirit,NBO,Nairobi,PIPELINE,P/UP,,9869.31
KBL NBO F20 - Rongai 14T BEER,NBO,Nairobi,RONGAI,14T,,15401.88
KBL NBO F20 - Rongai 14T KEG,NBO,Nairobi,RONGAI,14T,,23923.01
KBL NBO F20 - RONGAI 14T SPIRIT,NBO,Nairobi,RONGAI,14T,,14544.2
KBL NBO F20 - Rongai 30T BEER,NBO,Nairobi,RONGAI,30T,,22975.11
KBL NBO F20 - Rongai 30T KEG,NBO,Nairobi,RONGAI,30T,,30381.9
KBL NBO F20 - RONGAI 30T SPIRIT,NBO,Nairobi,RONGAI,30T,,22275.11
KBL NBO F20 - RONGAI 7.5T Beer,NBO,Nairobi,RONGAI,7.5T,,12648.35
KBL NBO F20 - Rongai 7.5T KEG,NBO,Nairobi,RONGAI,7.5T,,12607.47
KBL NBO F20 - RONGAI 7.5T SPIRIT,NBO,Nairobi,RONGAI,7.5T,,11837.39
KBL NBO F20 - RONGAI P/up Beer,NBO,Nairobi,RONGAI,P/UP,,11300.48
KBL NBO F20 - RONGAI P/up Spirit,NBO,Nairobi,RONGAI,P/UP,,10641.36
KBL NBO F20 - SAIKA 14T Keg,NBO,Nairobi,SAIKA,14T,,13538.63
KBL NBO F20 - SAIKA 30T Keg,NBO,Nairobi,SAIKA,30T,,20918.44
KBL NBO F20 - SAIKA 7.5T Keg,NBO,Nairobi,SAIKA,7.5T,,10186.3
KBL NBO F20 - Shauri Moyo 14T KEG,NBO,Nairobi,SHAURI MOYO,14T,,19288.28
KBL NBO F20 - Shauri Moyo 14T Spirit,NBO,Nairobi,NRB SHRI MOYO EB,14T,,13385.35
KBL NBO F20 - Shauri Moyo 30T KEG,NBO,Nairobi,SHAURI MOYO,30T,,20918.44
KBL NBO F20 - Shauri Moyo 30T Spirit,NBO,Nairobi,NRB SHRI MOYO EB,30T,,20351.59
KBL NBO F20 - Shauri Moyo 7.5T KEG,NBO,Nairobi,SHAURI MOYO,7.5T,,14887.94
KBL NBO F20 - Shauri Moyo 7.5T Spirit,NBO,Nairobi,NRB SHRI MOYO EB,7.5T,,10983.28
KBL NBO F20 - Shauri Moyo P/up Spirit,NBO,Nairobi,NRB SHRI MOYO EB,P/UP,,9869.31
KBL NBO F20 - UMOJA 14T Keg,NBO,Nairobi,UMOJA EB,14T,,13538.63
KBL NBO F20 - UMOJA 14T Spirit,NBO,Nairobi,UMOJA EB,14T,,13538.63
KBL NBO F20 - UMOJA 30T Keg,NBO,Nairobi,UMOJA EB,30T,,20918.44
KBL NBO F20 - UMOJA 30T Spirit,NBO,Nairobi,UMOJA EB,30T,,20065.43
KBL NBO F20 - UMOJA 7.5T Keg,NBO,Nairobi,UMOJA EB,7.5T,,11166.3
KBL NBO F20 - UMOJA 7.5T Spirit,NBO,Nairobi,UMOJA EB,7.5T,,11166.3
KBL NBO F20 - UMOJA P/up Spirit,NBO,Nairobi,UMOJA EB,P/UP,,9828.43
KBL NBO F20 - Uthiru 14T KEG,NBO,Nairobi,UTHIRU,14T,,13538.63
KBL NBO F20 - UTHIRU 14T Spirit,NBO,Nairobi,UTHIRU,14T,,13538.63
KBL NBO F20 - Uthiru 30T KEG,NBO,Nairobi,UTHIRU,30T,,20918.44
KBL NBO F20 - UTHIRU 30T Spirit,NBO,Nairobi,UTHIRU,30T,,20065.43
KBL NBO F20 - Uthiru 7.5T KEG,NBO,Nairobi,UTHIRU,7.5T,,10411.62
KBL NBO F20 - UTHIRU 7.5T Spirit,NBO,Nairobi,UTHIRU,7.5T,,10411.62
KBL NBO F20 - UTHIRU P/up Spirit,NBO,Nairobi,UTHIRU,P/UP,,9828.43
F24 - BDC - EMBU - Spirits - 14T,NBO,Mountain,EMBU,14T,,33900.12
F24 - BDC - EMBU - Spirits - 30T,NBO,Mountain,EMBU,30T,,42026.67
F24 - BDC - EMBU - Spirits - 7.5T,NBO,Mountain,EMBU,7.5T,,26301.47
F24 - BDC - EMBU EB - Spirits - 14T,NBO,Mountain,EMBU,14T,,33900.12
F24 - BDC - EMBU EB - Spirits - 30T,NBO,Mountain,EMBU,30T,,42026.67
F24 - BDC - EMBU EB - Spirits - 7.5T,NBO,Mountain,EMBU,7.5T,,26301.47
F24 - BDC - GATUNDU - Spirits - 14T,NBO,Mountain,GATUNDU,14T,,17794.48
F24 - BDC - GATUNDU - Spirits - 30T,NBO,Mountain,GATUNDU,30T,,27004.54
F24 - BDC - GATUNDU - Spirits - 7.5T,NBO,Mountain,GATUNDU,7.5T,,14344.92
F24 - BDC - GATUNDU - Spirits - P/Up,NBO,Mountain,GATUNDU,P/UP,,34713.37
F24 - BDC - GITHUNGURI EB - Spirits - 14T,NBO,Mountain,GITHUNGURI,14T,,19186.64
F24 - BDC - GITHUNGURI EB - Spirits - 30T,NBO,Mountain,GITHUNGURI,30T,,27337.06
F24 - BDC - GITHUNGURI EB - Spirits - 7.5T,NBO,Mountain,GITHUNGURI,7.5T,,14500.8
F24 - BDC - GITHUNGURI EB - Spirits - P/Up,NBO,Mountain,GITHUNGURI,P/UP,,35391.27
F24 - BDC - ISIOLO - Spirits - 14T,NBO,Mountain,ISIOLO,14T,,62954.36
F24 - BDC - ISIOLO - Spirits - 30T,NBO,Mountain,ISIOLO,30T,,112670.46
F24 - BDC - ISIOLO - Spirits - 7.5T,NBO,Mountain,ISIOLO,7.5T,,49040.41
F24 - BDC - ISIOLO - Spirits - P/Up,NBO,Mountain,ISIOLO,P/UP,,51305.53
F24 - BDC - JUJA EB - Spirits - 14T,NBO,Mountain,JUJA,14T,,15189.39
F24 - BDC - JUJA EB - Spirits - 30T,NBO,Mountain,JUJA,30T,,22895.17
F24 - BDC - JUJA EB - Spirits - 7.5T,NBO,Mountain,JUJA,7.5T,,12339.18
F24 - BDC - JUJA EB - Spirits - P/Up,NBO,Mountain,JUJA,P/UP,,26640.25
F24 - BDC - KAGIO - Spirits - 14T,NBO,Mountain,KAGIO,14T,,29776.0
F24 - BDC - KAGIO - Spirits - 30T,NBO,Mountain,KAGIO,30T,,45806.98
F24 - BDC - KAGIO - Spirits - 7.5T,NBO,Mountain,KAGIO,7.5T,,23608.75
F24 - BDC - KAGIO - Spirits - P/Up,NBO,Mountain,KAGIO,P/UP,,71319.76
F24 - BDC - KANGEMA EB - Spirits - 14T,NBO,Mountain,KANGEMA EB,14T,,29963.46
F24 - BDC - KANGEMA EB - Spirits - 30T,NBO,Mountain,KANGEMA EB,30T,,44976.17
F24 - BDC - KANGEMA EB - Spirits - 7.5T,NBO,Mountain,KANGEMA EB,7.5T,,23750.46
F24 - BDC - KANGEMA EB - Spirits - P/Up,NBO,Mountain,KANGEMA EB,P/UP,,71936.03
F24 - BDC - KARATINA EB - Spirits - 14T,NBO,Mountain,KARATINA,14T,,34204.95
F24 - BDC - KARATINA EB - Spirits - 30T,NBO,Mountain,KARATINA,30T,,51248.22
F24 - BDC - KARATINA EB - Spirits - 7.5T,NBO,Mountain,KARATINA,7.5T,,24954.25
F24 - BDC - KARATINA EB - Spirits - P/Up,NBO,Mountain,KARATINA,P/UP,,29170.35
F24 - BDC - LOKICHOGIO - Spirits - 14T,NBO,Mountain,LOKICHOGIO,14T,,178884.49
F24 - BDC - LOKICHOGIO - Spirits - 30T,NBO,Mountain,LOKICHOGIO,30T,,283721.54
F24 - BDC - LOKICHOGIO - Spirits - 7.5T,NBO,Mountain,LOKICHOGIO,7.5T,,137567.0
F24 - BDC - LOKICHOGIO - Spirits - P/Up,NBO,Mountain,LOKICHOGIO,P/UP,,128945.94
F24 - BDC - MAKONGENI - Spirits - 14T,NBO,Mountain,MAKONGENI,14T,,18150.66
F24 - BDC - MAKONGENI - Spirits - 30T,NBO,Mountain,MAKONGENI,30T,,27578.89
F24 - BDC - MAKONGENI - Spirits - 7.5T,NBO,Mountain,MAKONGENI,7.5T,,14614.16
F24 - BDC - MAKONGENI - Spirits - P/Up,NBO,Mountain,MAKONGENI,P/UP,,35884.28
F24 - BDC - MAKUTANO - Spirits - 14T,NBO,Mountain,MAKUTANO,14T,,24805.49
F24 - BDC - MAKUTANO - Spirits - 30T,NBO,Mountain,MAKUTANO,30T,,38310.21
F24 - BDC - MAKUTANO - Spirits - 7.5T,NBO,Mountain,MAKUTANO,7.5T,,19644.79
F24 - BDC - MAKUTANO - Spirits - P/Up,NBO,Mountain,MAKUTANO,P/UP,,57761.84
F24 - BDC - MAUA - Spirits - 14T,NBO,Mountain,MAUA,14T,,62225.09
F24 - BDC - MAUA - Spirits - 30T,NBO,Mountain,MAUA,30T,,109998.23
F24 - BDC - MAUA - Spirits - 7.5T,NBO,Mountain,MAUA,7.5T,,51459.94
F24 - BDC - MAUA - Spirits - P/Up,NBO,Mountain,MAUA,P/UP,,48466.42
F24 - BDC - MAUA EB - Spirits - 14T,NBO,Mountain,MAUA,14T,,62225.09
F24 - BDC - MAUA EB - Spirits - 30T,NBO,Mountain,MAUA,30T,,109998.23
F24 - BDC - MAUA EB - Spirits - 7.5T,NBO,Mountain,MAUA,7.5T,,51459.94
F24 - BDC - MAUA EB - Spirits - P/Up,NBO,Mountain,MAUA,P/UP,,48466.42
F24 - BDC - MERU - Spirits - 14T,NBO,Mountain,MERU,14T,,56983.45
F24 - BDC - MERU - Spirits - 30T,NBO,Mountain,MERU,30T,,71145.91
F24 - BDC - MERU - Spirits - 7.5T,NBO,Mountain,MERU,7.5T,,47274.84
F24 - BDC - MERU - Spirits - P/Up,NBO,Mountain,MERU,P/UP,,48466.42
F24 - BDC - MURANG'A - Spirits - 14T,NBO,Mountain,MURANG'A,14T,,24543.05
F24 - BDC - MURANG'A - Spirits - 30T,NBO,Mountain,MURANG'A,30T,,37887.0
F24 - BDC - MURANG'A - Spirits - 7.5T,NBO,Mountain,MURANG'A,7.5T,,19446.4
F24 - BDC - MURANG'A - Spirits - P/Up,NBO,Mountain,MURANG'A,P/UP,,56899.06
F24 - BDC - MURANG'A EB - Spirits - 14T,NBO,Mountain,MURANG'A,14T,,24543.05
F24 - BDC - MURANG'A EB - Spirits - 30T,NBO,Mountain,MURANG'A,30T,,37887.0
F24 - BDC - MURANG'A EB - Spirits - 7.5T,NBO,Mountain,MURANG'A,7.5T,,19446.4
F24 - BDC - MURANG'A EB - Spirits - P/Up,NBO,Mountain,MURANG'A,P/UP,,56899.06
F24 - BDC - MWEA EB - Spirits - 14T,NBO,Mountain,MWEA,14T,,24089.93
F24 - BDC - MWEA EB - Spirits - 30T,NBO,Mountain,MWEA,30T,,43177.06
F24 - BDC - MWEA EB - Spirits - 7.5T,NBO,Mountain,MWEA,7.5T,,19689.18
F24 - BDC - MWEA EB - Spirits - P/Up,NBO,Mountain,MWEA,P/UP,,65958.22
F24 - BDC - NANYUKI - Spirits - 14T,NBO,Mountain,NANYUKI,14T,,48444.33
F24 - BDC - NANYUKI - Spirits - 30T,NBO,Mountain,NANYUKI,30T,,72445.17
F24 - BDC - NANYUKI - Spirits - 7.5T,NBO,Mountain,NANYUKI,7.5T,,36376.48
F24 - BDC - NANYUKI - Spirits - P/Up,NBO,Mountain,NANYUKI,P/UP,,36592.68
F24 - BDC - NKUBU - Spirits - 14T,NBO,Mountain,NKUBU,14T,,49477.79
F24 - BDC - NKUBU - Spirits - 30T,NBO,Mountain,NKUBU,30T,,87422.96
F24 - BDC - NKUBU - Spirits - 7.5T,NBO,Mountain,NKUBU,7.5T,,38643.81
F24 - BDC - NKUBU - Spirits - P/Up,NBO,Mountain,NKUBU,P/UP,,39572.5
F24 - BDC - NYERI - Spirits - 14T,NBO,Mountain,NYERI,14T,,39153.77
F24 - BDC - NYERI - Spirits - 30T,NBO,Mountain,NYERI,30T,,59410.06
F24 - BDC - NYERI - Spirits - 7.5T,NBO,Mountain,NYERI,7.5T,,29985.61
F24 - BDC - NYERI - Spirits - P/Up,NBO,Mountain,NYERI,P/UP,,28956.89
F24 - BDC - RUIRU - Spirits - 14T,NBO,Mountain,RUIRU,14T,,14720.74
F24 - BDC - RUIRU - Spirits - 30T,NBO,Mountain,RUIRU,30T,,15695.81
F24 - BDC - RUIRU - Spirits - 7.5T,NBO,Mountain,RUIRU,7.5T,,11984.91
F24 - BDC - RUIRU - Spirits - P/Up,NBO,Mountain,RUIRU,P/UP,,25099.57
F24 - BDC - RUIRU EB - Spirits - 14T,NBO,Mountain,RUIRU,14T,,14720.74
F24 - BDC - RUIRU EB - Spirits - 30T,NBO,Mountain,RUIRU,30T,,15695.81
F24 - BDC - RUIRU EB - Spirits - 7.5T,NBO,Mountain,RUIRU,7.5T,,11984.91
F24 - BDC - RUIRU EB - Spirits - P/Up,NBO,Mountain,RUIRU,P/UP,,25099.57
F24 - BDC - THIKA - Spirits - 14T,NBO,Mountain,THIKA,14T,,17157.12
F24 - BDC - THIKA - Spirits - 30T,NBO,Mountain,THIKA,30T,,25976.74
F24 - BDC - THIKA - Spirits - 7.5T,NBO,Mountain,THIKA,7.5T,,16332.58
F24 - BDC - THIKA - Spirits - P/Up,NBO,Mountain,THIKA,P/UP,,18381.17
F24 - BDC - THIKA EB - Spirits - 14T,NBO,Mountain,THIKA,14T,,17157.12
F24 - BDC - THIKA EB - Spirits - 30T,NBO,Mountain,THIKA,30T,,25976.74
F24 - BDC - THIKA EB - Spirits - 7.5T,NBO,Mountain,THIKA,7.5T,,16332.58
F24 - BDC - THIKA EB - Spirits - P/Up,NBO,Mountain,THIKA,P/UP,,18381.17
F24 -BDC -EMBU - Beer - 14T,NBO,Mountain,EMBU,14T,,33975.02
F24 -BDC -EMBU - Beer - 30T,NBO,Mountain,EMBU,30T,,42026.67
F24 -BDC -EMBU - Beer - 7.5T,NBO,Mountain,EMBU,7.5T,,26301.47
F24 -BDC -EMBU - Beer - P/up,NBO,Mountain,EMBU,P/UP,,30618.12
F24 -BDC -GATUNDU - Beer - 14T,NBO,Mountain,GATUNDU,14T,,17869.38
F24 -BDC -GATUNDU - Beer - 30T,NBO,Mountain,GATUNDU,30T,,27147.52
F24 -BDC -GATUNDU - Beer - 7.5T,NBO,Mountain,GATUNDU,7.5T,,14467.47
F24 -BDC -GATUNDU - Beer - P/up,NBO,Mountain,GATUNDU,P/UP,,34713.37
F24 -BDC -ISIOLO - Beer - 14T,NBO,Mountain,ISIOLO,14T,,63029.25
F24 -BDC -ISIOLO - Beer - 30T,NBO,Mountain,ISIOLO,30T,,112670.46
F24 -BDC -ISIOLO - Beer - 7.5T,NBO,Mountain,ISIOLO,7.5T,,49162.97
F24 -BDC -ISIOLO - Beer - P/up,NBO,Mountain,ISIOLO,P/UP,,51305.53
F24 -BDC -JUJA - Beer - 14T,NBO,Mountain,JUJA,14T,,15264.29
F24 -BDC -JUJA - Beer - 30T,NBO,Mountain,JUJA,30T,,23038.14
F24 -BDC -JUJA - Beer - 7.5T,NBO,Mountain,JUJA,7.5T,,12461.74
F24 -BDC -JUJA - Beer - P/up,NBO,Mountain,JUJA,P/UP,,26640.25
F24 -BDC -KAGIO - Beer - 14T,NBO,Mountain,KAGIO,14T,,29850.89
F24 -BDC -KAGIO - Beer - 30T,NBO,Mountain,KAGIO,30T,,45949.96
F24 -BDC -KAGIO - Beer - 7.5T,NBO,Mountain,KAGIO,7.5T,,23731.3
F24 -BDC -KAGIO - Beer - P/up,NBO,Mountain,KAGIO,P/UP,,71319.76
F24 -BDC -LOKICHOGIO - Beer - 14T,NBO,Mountain,LOKICHOGIO,14T,,178959.39
F24 -BDC -LOKICHOGIO - Beer - 30T,NBO,Mountain,LOKICHOGIO,30T,,283864.53
F24 -BDC -LOKICHOGIO - Beer - 7.5T,NBO,Mountain,LOKICHOGIO,7.5T,,137689.56
F24 -BDC -LOKICHOGIO - Beer - P/up,NBO,Mountain,LOKICHOGIO,P/UP,,101174.57
F24 -BDC -MAKUTANO - Beer - 14T,NBO,Mountain,MAKUTANO,14T,,24880.39
F24 -BDC -MAKUTANO - Beer - 30T,NBO,Mountain,MAKUTANO,30T,,38453.18
F24 -BDC -MAKUTANO - Beer - 7.5T,NBO,Mountain,MAKUTANO,7.5T,,19767.35
F24 -BDC -MAKUTANO - Beer - P/up,NBO,Mountain,MAKUTANO,P/UP,,57761.84
F24 -BDC -MAUA - Beer - 14T,NBO,Mountain,MAUA,14T,,62299.98
F24 -BDC -MAUA - Beer - 30T,NBO,Mountain,MAUA,30T,,109998.23
F24 -BDC -MAUA - Beer - 7.5T,NBO,Mountain,MAUA,7.5T,,51545.16
F24 -BDC -MAUA - Beer - P/up,NBO,Mountain,MAUA,P/UP,,48466.42
F24 -BDC -MERU - Beer - 14T,NBO,Mountain,MERU,14T,,56983.45
F24 -BDC -MERU - Beer - 30T,NBO,Mountain,MERU,30T,,71145.91
F24 -BDC -MERU - Beer - 7.5T,NBO,Mountain,MERU,7.5T,,47307.77
F24 -BDC -MERU - Beer - P/up,NBO,Mountain,MERU,P/UP,,48466.42
F24 -BDC -MURANG'A - Beer - 14T,NBO,Mountain,MURANG'A,14T,,24617.94
F24 -BDC -MURANG'A - Beer - 30T,NBO,Mountain,MURANG'A,30T,,38029.98
F24 -BDC -MURANG'A - Beer - 7.5T,NBO,Mountain,MURANG'A,7.5T,,19568.96
F24 -BDC -MURANG'A - Beer - P/up,NBO,Mountain,MURANG'A,P/UP,,56899.06
F24 -BDC -NANYUKI - Beer - 14T,NBO,Mountain,NANYUKI,14T,,48444.33
F24 -BDC -NANYUKI - Beer - 30T,NBO,Mountain,NANYUKI,30T,,72445.17
F24 -BDC -NANYUKI - Beer - 7.5T,NBO,Mountain,NANYUKI,7.5T,,36499.03
F24 -BDC -NANYUKI - Beer - P/up,NBO,Mountain,NANYUKI,P/UP,,36592.68
F24 -BDC -NKUBU - Beer - 14T,NBO,Mountain,NKUBU,14T,,49552.68
F24 -BDC -NKUBU - Beer - 30T,NBO,Mountain,NKUBU,30T,,87422.96
F24 -BDC -NKUBU - Beer - 7.5T,NBO,Mountain,NKUBU,7.5T,,38766.36
F24 -BDC -NKUBU - Beer - P/up,NBO,Mountain,NKUBU,P/UP,,39572.5
F24 -BDC -NYAHURURU - Beer - 14T,NBO,Mountain,NYAHURURU,14T,,47865.54
F24 -BDC -NYAHURURU - Beer - 30T,NBO,Mountain,NYAHURURU,30T,,74643.85
F24 -BDC -NYAHURURU - Beer - 7.5T,NBO,Mountain,NYAHURURU,7.5T,,42412.36
F24 -BDC -NYAHURURU - Beer - P/up,NBO,Mountain,NYAHURURU,P/UP,,40172.29
F24 -BDC -NYERI - Beer - 14T,NBO,Mountain,NYERI,14T,,39153.77
F24 -BDC -NYERI - Beer - 30T,NBO,Mountain,NYERI,30T,,59553.05
F24 -BDC -NYERI - Beer - 7.5T,NBO,Mountain,NYERI,7.5T,,30108.16
F24 -BDC -NYERI - Beer - P/up,NBO,Mountain,NYERI,P/UP,,28956.89
F24 -BDC -RUIRU - Beer - 14T,NBO,Mountain,RUIRU,14T,,14795.64
F24 -BDC -RUIRU - Beer - 30T,NBO,Mountain,RUIRU,30T,,15695.81
F24 -BDC -RUIRU - Beer - 7.5T,NBO,Mountain,RUIRU,7.5T,,12107.46
F24 -BDC -RUIRU - Beer - P/up,NBO,Mountain,RUIRU,P/UP,,25099.57
F24 -BDC -THIKA - Beer - 14T,NBO,Mountain,THIKA,14T,,17232.01
F24 -BDC -THIKA - Beer - 30T,NBO,Mountain,THIKA,30T,,26119.73
F24 -BDC -THIKA - Beer - 7.5T,NBO,Mountain,THIKA,7.5T,,16365.51
F24 -BDC -THIKA - Beer - P/up,NBO,Mountain,THIKA,P/UP,,18381.17
KBL NBO F20 - CHUKA 14T BEER,NBO,Mountain,CHUKA,14T,,45285.5
KBL NBO F20 - Chuka 14T KEG,NBO,Mountain,CHUKA,14T,,47286.35
KBL NBO F20 - CHUKA 14T SPIRIT,NBO,Mountain,CHUKA,14T,,44559.81
KBL NBO F20 - CHUKA 30T BEER,NBO,Mountain,CHUKA,30T,,73434.94
KBL NBO F20 - Chuka 30T KEG,NBO,Mountain,CHUKA,30T,,73434.94
KBL NBO F20 - CHUKA 30T SPIRIT,NBO,Mountain,CHUKA,30T,,73434.94
KBL NBO F20 - CHUKA 7.5T BEER,NBO,Mountain,CHUKA,7.5T,,35067.5
KBL NBO F20 - Chuka 7.5T KEG,NBO,Mountain,CHUKA,7.5T,,35026.62
KBL NBO F20 - CHUKA 7.5T SPIRIT,NBO,Mountain,CHUKA,7.5T,,34256.54
KBL NBO F20 - CHUKA P/up Beer,NBO,Mountain,CHUKA,P/UP,,31674.47
KBL NBO F20 - CHUKA P/up Spirit,NBO,Mountain,CHUKA,P/UP,,30974.47
KBL NBO F20 - Donyo 14T KEG,NBO,Mountain,DONYO,14T,,24069.69
KBL NBO F20 - DONYO 14T Spirit,NBO,Mountain,DONYO,14T,,23212.01
KBL NBO F20 - Donyo 30T KEG,NBO,Mountain,DONYO,30T,,37250.39
KBL NBO F20 - DONYO 30T Spirit,NBO,Mountain,DONYO,30T,,36264.23
KBL NBO F20 - Donyo 7.5T KEG,NBO,Mountain,DONYO,7.5T,,19081.23
KBL NBO F20 - DONYO 7.5T Spirit,NBO,Mountain,DONYO,7.5T,,18270.27
KBL NBO F20 - DONYO P/up Spirit,NBO,Mountain,DONYO,P/UP,,16472.55
KBL NBO F20 - EMBU 14T BEER,NBO,Mountain,EMBU,14T,,36057.53
KBL NBO F20 - EMBU 14T KEG,NBO,Mountain,EMBU,14T,,36120.6
KBL NBO F20 - EMBU 14T SPIRIT,NBO,Mountain,EMBU,14T,,35331.84
KBL NBO F20 - EMBU 30T BEER,NBO,Mountain,EMBU,30T,,42026.67
KBL NBO F20 - EMBU 30T KEG,NBO,Mountain,EMBU,30T,,42026.67
KBL NBO F20 - EMBU 30T SPIRIT,NBO,Mountain,EMBU,30T,,42026.67
KBL NBO F20 - EMBU 7.5T BEER,NBO,Mountain,EMBU,7.5T,,26301.47
